read_name	read_strand	read_start	read_seg_length	chr	chr_strand	chr_start	chr_seg_length	sample_id
merge163-7	1	16713	153	chrX	1	48280742	152	07-11855
merge188-7	1	20889	134	chr22	1	22904990	134	07-11855
merge118-8	-1	23784	74	chr5	1	130246251	74	07-11855
merge192-7	1	17330	318	chr6	1	7717150	318	07-11855
merge119-4	-1	13558	73	chr9	1	5369772	73	07-11855
merge200-3	1	19909	316	chr6	1	850922	316	07-11855
merge180-7	1	23956	322	chr10	1	112398042	322	07-11855
merge187-4	-1	36418	311	chrX	1	66747361	311	07-11855
merge199-6	1	28502	328	chr8	1	112213634	328	07-11855
merge183-3	1	14224	319	chr10	1	63025132	319	07-11855
merge210-6	1	16626	90	chr8	1	82824529	90	07-11855
merge210-6	1	16718	250	chr8	1	82824525	266	07-11855
merge210-6	-1	12570	70	chr3	1	87360885	66	07-11855
merge186-7	1	35661	325	chrX	1	66747350	325	07-11855
merge206-4	1	14492	37	chr4	1	175803172	37	07-11855
merge191-7	1	17863	256	chr3	1	80276039	256	07-11855
merge167-7	1	22925	214	chr17	1	39498873	214	07-11855
merge205-6	-1	19043	34	chr4	1	175803175	34	07-11855
merge216-6	1	28389	91	chr15	1	65146034	91	07-11855
merge218-6	-1	26017	71	chr2	1	52165822	71	07-11855
merge193-3	1	8056	62	chr7	1	86332411	62	07-11855
merge217-6	1	17712	296	chr13	1	102006727	296	07-11855
merge194-7	-1	28217	294	chr15	1	55645153	287	07-11855
merge147-8	1	20935	44	chr1	1	177399342	44	07-11855
merge223-6	1	15002	200	chr13	1	56114805	199	07-11855
merge159-7	-1	26584	90	chr3	1	84908961	90	07-11855
merge207-6	-1	20483	305	chr10	1	29372497	305	07-11855
merge233-6	-1	31791	303	chr7	1	148022427	295	07-11855
merge233-6	-1	18446	307	chr2	1	66150724	307	07-11855
merge226-3	1	33534	312	chr3	1	74216754	312	07-11855
merge237-3	1	8321	304	chr7	1	83570268	304	07-11855
merge238-6	1	23043	295	chr19	1	18550487	295	07-11855
merge241-6	1	20129	88	chr3	1	164588792	84	07-11855
merge241-6	1	20218	66	chr3	1	8502313	66	07-11855
merge225-6	1	13736	313	chr4	1	124946215	313	07-11855
merge178-7	-1	28836	308	chr16	1	30799202	308	07-11855
merge208-6	-1	4273	36	chrX	1	84406463	36	07-11855
merge240-6	1	27527	283	chr6	1	103735354	283	07-11855
merge239-6	1	25800	307	chr8	1	47955180	307	07-11855
merge250-3	1	14402	57	chr4	1	92600034	57	07-11855
merge251-5	-1	12572	34	chr1	1	9525529	34	07-11855
merge249-5	1	14337	56	chr6	1	27029450	56	07-11855
merge258-3	1	11907	43	chr17	1	5246455	43	07-11855
merge256-5	-1	18350	285	chr1	1	144547434	285	07-11855
merge222-3	-1	9284	320	chr6	1	54691652	320	07-11855
merge267-3	-1	15882	305	chr2	1	105462586	305	07-11855
merge265-4	-1	19187	303	chr17	1	60066988	303	07-11855
merge272-5	-1	21725	66	chrX	1	23695256	66	07-11855
merge260-5	-1	45019	184	chr6	1	156244551	171	07-11855
merge260-5	1	25332	220	chr17	1	77239891	220	07-11855
merge261-5	1	30581	39	chr5	1	90493675	39	07-11855
merge274-3	1	14669	70	chr5	1	26793606	70	07-11855
merge274-3	1	14740	93	chr3	1	189440345	84	07-11855
merge274-3	-1	13538	181	chr11	1	25603830	181	07-11855
merge274-3	-1	13484	52	chr11	1	25603857	52	07-11855
merge274-3	-1	13300	171	chr11	1	25603560	167	07-11855
merge274-3	-1	13140	160	chr11	1	25603560	160	07-11855
merge273-5	1	16236	70	chr5	1	26793606	70	07-11855
merge273-5	1	16307	93	chr3	1	189440345	84	07-11855
merge273-5	-1	15442	181	chr11	1	25603830	181	07-11855
merge273-5	-1	15388	52	chr11	1	25603857	52	07-11855
merge273-5	-1	15204	171	chr11	1	25603560	167	07-11855
merge273-5	-1	15044	160	chr11	1	25603560	160	07-11855
merge279-5	1	15025	321	chr3	1	3831532	321	07-11855
merge278-5	1	11967	311	chr8	1	42717089	311	07-11855
merge288-4	1	18230	55	chr1	1	167215529	55	07-11855
merge283-5	-1	18087	312	chr5	1	116918327	311	07-11855
merge283-5	-1	18025	62	chr12	1	50694496	62	07-11855
merge287-5	1	30973	54	chr12	1	74362087	54	07-11855
merge284-4	1	16985	47	chr2	1	193143789	47	07-11855
merge284-4	1	17032	316	chr5	1	116918324	314	07-11855
merge291-5	-1	16255	302	chr15	1	29600902	294	07-11855
merge242-6	1	17328	304	chr16	1	49945495	304	07-11855
merge277-5	1	16810	61	chr15	1	73718231	61	07-11855
merge296-5	-1	6192	321	chr6	1	103192730	321	07-11855
merge295-5	-1	36896	316	chr15	1	34716835	316	07-11855
merge275-5	1	26352	61	chr21	1	18396792	61	07-11855
merge308-3	-1	7487	85	chrX	1	134286067	85	07-11855
merge305-5	-1	14427	67	chr2	1	13362828	67	07-11855
merge312-5	-1	12444	321	chr18	1	63754880	321	07-11855
merge300-3	1	15133	47	chr1	1	248578959	47	07-11855
merge307-5	1	26717	99	chr9	1	6949166	99	07-11855
merge304-5	1	29310	91	chr6	1	140634370	91	07-11855
merge304-5	1	29401	270	chr16	1	61425848	270	07-11855
merge311-5	1	16165	320	chr9	1	103370264	320	07-11855
merge298-3	1	43983	321	chr6	1	103192730	321	07-11855
merge315-5	-1	9111	32	chr2	1	26418612	32	07-11855
merge315-5	1	12563	656	chr3	1	34703982	697	07-11855
merge315-5	1	13219	137	chr17	1	45903926	127	07-11855
merge315-5	1	13367	81	chr3	1	16538072	78	07-11855
merge315-5	1	13478	183	chr11	1	55273206	175	07-11855
merge315-5	-1	7942	69	chr2	1	35956536	85	07-11855
merge315-5	1	13739	110	chr3	1	34705228	110	07-11855
merge319-5	1	23343	122	chr6	1	29722764	122	07-11855
merge325-3	1	10840	269	chr3	1	157305102	269	07-11855
merge286-4	-1	20698	309	chr9	1	6752052	309	07-11855
merge321-5	-1	8998	335	chr5	1	92184970	334	07-11855
merge301-5	1	27399	310	chr15	1	46608632	310	07-11855
merge317-4	-1	11604	46	chr7	1	89833741	46	07-11855
merge316-5	-1	42985	48	chr4	1	145036990	48	07-11855
merge330-5	1	18841	328	chr1	1	109055097	322	07-11855
merge333-4	-1	15188	322	chr12	1	121851699	322	07-11855
merge310-5	-1	19271	70	chr2	1	80043115	70	07-11855
merge334-3	1	18067	323	chr12	1	121851699	322	07-11855
merge285-5	1	7122	303	chr6	1	9075063	302	07-11855
merge285-5	-1	23547	351	chr12	1	70286839	355	07-11855
merge331-4	1	9815	312	chr4	1	6953339	312	07-11855
merge324-4	1	14167	335	chr5	1	92184970	335	07-11855
merge309-5	1	5762	32	chr20	1	570902	32	07-11855
merge342-3	1	16565	311	chr2	1	149902795	311	07-11855
merge327-5	-1	15445	197	chr5	1	17812204	204	07-11855
merge345-3	-1	8503	72	chr18	1	57731305	72	07-11855
merge337-5	-1	19669	300	chr4	1	56071844	300	07-11855
merge346-4	-1	8522	189	chr16	1	7008910	194	07-11855
merge346-4	-1	8347	174	chr16	1	7008939	170	07-11855
merge346-4	-1	8151	194	chr16	1	7008915	194	07-11855
merge346-4	-1	8069	80	chr4	1	6336743	82	07-11855
merge346-4	1	15229	258	chr2	1	207357	233	07-11855
merge346-4	1	15489	83	chr5	1	80228225	84	07-11855
merge346-4	-1	7449	276	chr16	1	7008844	271	07-11855
merge346-4	-1	7141	305	chr16	1	7008812	297	07-11855
merge349-4	1	11665	233	chr1	1	101565018	233	07-11855
merge332-4	-1	22408	136	chr12	1	121851885	136	07-11855
merge332-4	-1	22208	200	chr9	1	25026928	200	07-11855
merge354-4	-1	3172	32	chr17	1	35378449	32	07-11855
merge306-5	-1	20667	38	chr8	1	126166000	38	07-11855
merge339-5	-1	17328	123	chr12	1	87315548	123	07-11855
merge359-4	1	7582	293	chr6	1	11555873	293	07-11855
merge350-4	1	16665	53	chr5	1	82917519	53	07-11855
merge363-3	1	12454	314	chr1	1	161244096	314	07-11855
merge356-4	1	19141	74	chr4	1	186219061	74	07-11855
merge362-4	1	11284	315	chr1	1	161244096	315	07-11855
merge357-4	-1	15267	65	chr1	1	97225004	65	07-11855
merge375-4	1	14916	34	chr17	1	10615437	34	07-11855
merge368-4	-1	8816	67	chr14	1	99130547	67	07-11855
merge344-5	-1	30471	68	chr8	1	63992714	68	07-11855
merge318-5	1	23245	306	chr12	1	62838636	306	07-11855
merge371-4	-1	8680	62	chr8	1	23746324	56	07-11855
merge371-4	-1	8595	59	chr1	1	6926494	58	07-11855
merge371-4	-1	8478	113	chr20	1	47541341	96	07-11855
merge371-4	1	13682	68	chrX	1	1493314	63	07-11855
merge379-4	-1	14790	81	chr6	1	28528796	81	07-11855
merge369-4	1	21240	61	chrX	1	85328165	61	07-11855
merge351-4	1	14601	79	chr2	1	127837762	79	07-11855
merge382-3	1	7066	304	chr5	1	70340712	304	07-11855
merge376-4	-1	15137	171	chr7	1	13202969	171	07-11855
merge376-4	-1	13	428	chr1	1	230424237	434	07-11855
merge381-4	-1	5160	314	chrY	1	14489438	314	07-11855
merge384-4	1	11558	71	chr14	1	32941275	71	07-11855
merge390-4	-1	26964	56	chr10	1	48304670	56	07-11855
merge390-4	1	11200	130	chr8	1	30006792	130	07-11855
merge387-4	-1	14816	314	chr11	1	89009614	316	07-11855
merge391-4	-1	19092	91	chr2	1	143837082	94	07-11855
merge385-4	-1	18640	65	chr6	1	7813089	65	07-11855
merge388-4	-1	21250	32	chr1	1	46776130	32	07-11855
merge389-4	1	18864	117	chr5	1	21710375	117	07-11855
merge389-4	1	18984	67	chr7	1	113105250	63	07-11855
merge389-4	-1	11873	87	chr4	1	130011247	88	07-11855
merge389-4	-1	11752	116	chr11	1	9671411	108	07-11855
merge389-4	1	19259	560	chr5	1	21710548	565	07-11855
merge389-4	1	19820	287	chr5	1	21710864	285	07-11855
merge389-4	1	20108	178	chr5	1	21710828	178	07-11855
merge389-4	1	20288	299	chr5	1	21710828	297	07-11855
merge389-4	1	20587	298	chr5	1	21710815	295	07-11855
merge389-4	1	20885	524	chr5	1	21710596	545	07-11855
merge389-4	1	21409	229	chr5	1	21710483	237	07-11855
merge389-4	1	21638	227	chr5	1	21711222	227	07-11855
merge389-4	1	21866	130	chr5	1	21710660	130	07-11855
merge389-4	1	22035	59	chr12	1	128085289	56	07-11855
merge401-4	-1	12522	80	chr11	1	121780973	80	07-11855
merge386-4	1	8964	69	chr17	1	48080930	69	07-11855
merge383-4	1	18111	319	chr10	1	15983147	320	07-11855
merge402-4	-1	6960	213	chr7	1	65847313	213	07-11855
merge402-4	-1	6923	34	chrX	1	63055047	34	07-11855
merge403-4	1	0	309	chr13	1	62134652	308	07-11855
merge403-4	-1	29618	56	chr12	1	53886790	56	07-11855
merge403-4	1	12463	302	chr19	1	23138001	302	07-11855
merge392-4	-1	20485	63	chr13	1	89804562	63	07-11855
merge392-4	-1	20414	71	chr4	1	3083530	71	07-11855
merge414-3	1	7056	304	chr10	1	63025148	304	07-11855
merge412-4	-1	13445	57	chr10	1	34684781	57	07-11855
merge409-4	-1	4835	56	chr11	1	35334813	56	07-11855
merge396-4	-1	17539	72	chr4	1	20291445	72	07-11855
merge396-4	1	43837	285	chr10	1	57497898	287	07-11855
merge396-4	-1	0	497	chr10	1	57496690	495	07-11855
merge408-4	1	15024	169	chr2	1	142677049	169	07-11855
merge360-4	-1	11682	321	chr10	1	57255478	321	07-11855
merge415-4	-1	21307	135	chr1	1	27487538	127	07-11855
merge397-4	-1	16059	63	chr9	1	79867220	63	07-11855
merge407-3	1	18781	141	chr2	1	137487258	141	07-11855
merge410-3	-1	10183	57	chr20	1	20175489	57	07-11855
merge404-4	-1	11364	72	chrX	1	105729863	68	07-11855
merge418-4	1	18786	56	chr16	1	15316734	56	07-11855
merge420-4	1	15525	310	chr14	1	43620606	310	07-11855
merge417-4	1	21448	104	chr7	1	55383004	104	07-11855
merge428-3	-1	4553	41	chr7	1	109942337	41	07-11855
merge416-4	1	3700	53	chr4	1	157322229	53	07-11855
merge419-4	1	16769	310	chrY	1	7208290	310	07-11855
merge427-4	-1	17091	50	chr11	1	84777273	50	07-11855
merge424-4	-1	4681	118	chr5	1	102137316	111	07-11855
merge436-3	1	4842	65	chr2	1	166456803	65	07-11855
merge439-4	-1	8796	60	chr16	1	78575005	60	07-11855
merge431-4	1	13524	95	chr15	1	22049530	96	07-11855
merge431-4	-1	11104	163	chrX	1	116863813	161	07-11855
merge431-4	-1	10936	168	chrX	1	116863806	162	07-11855
merge435-4	-1	22952	61	chr4	1	119097212	61	07-11855
merge352-4	1	11881	305	chr1	1	42787317	305	07-11855
merge432-4	1	19663	56	chr11	1	91371747	56	07-11855
merge441-4	1	13897	57	chr15	1	77116693	57	07-11855
merge441-4	-1	6308	145	chr16	1	86889677	146	07-11855
merge441-4	-1	6227	81	chr16	1	86889484	81	07-11855
merge445-4	-1	7533	63	chr7	1	34427881	63	07-11855
merge447-4	1	2170	165	chr7	1	101489756	165	07-11855
merge444-4	-1	13058	108	chr10	1	37068503	108	07-11855
merge438-4	1	24659	99	chr3	1	37512044	99	07-11855
merge438-4	-1	18187	32	chr6	1	71287962	32	07-11855
merge437-4	1	10635	80	chr11	1	13284128	80	07-11855
merge437-4	1	10715	83	chr3	1	140490030	83	07-11855
merge353-4	-1	20094	40	chr18	1	49375183	40	07-11855
merge457-4	1	15298	320	chr9	1	19045027	320	07-11855
merge455-4	1	18490	64	chr8	1	112692909	64	07-11855
merge433-4	1	7367	111	chr6	1	29722780	111	07-11855
merge449-4	1	14498	73	chr2	1	19603472	70	07-11855
merge449-4	1	14572	160	chr19	1	54181764	152	07-11855
merge449-4	-1	11016	87	chr7	1	1642717	87	07-11855
merge380-4	1	5773	305	chr2	1	232730615	305	07-11855
merge461-4	1	9157	70	chr12	1	53498935	70	07-11855
merge462-4	-1	9473	126	chr22	1	15395645	125	07-11855
merge453-4	1	22647	318	chr6	1	85434593	314	07-11855
merge434-4	-1	29729	80	chr2	1	116039892	74	07-11855
merge434-4	1	10643	83	chr12	1	71344849	83	07-11855
merge470-3	-1	13756	51	chr4	1	181641533	51	07-11855
merge458-4	-1	9325	53	chr20	1	23531813	53	07-11855
merge452-3	1	8290	56	chr5	1	127371200	56	07-11855
merge478-4	-1	19366	104	chr16	1	49210244	104	07-11855
merge476-4	1	35924	303	chr6	1	84794248	303	07-11855
merge482-3	1	6	108	chr1	1	2440581	102	07-11855
merge482-3	1	128	180	chr1	1	2440421	176	07-11855
merge482-3	1	308	277	chr1	1	2440390	271	07-11855
merge482-3	1	592	200	chr1	1	2440460	201	07-11855
merge482-3	1	796	240	chr1	1	2440390	240	07-11855
merge482-3	1	1036	306	chr1	1	2440424	305	07-11855
merge482-3	1	1347	274	chr1	1	2440390	275	07-11855
merge482-3	1	20825	519	chr1	1	2459644	497	07-11855
merge430-4	-1	10421	32	chr4	1	79919889	32	07-11855
merge474-4	-1	5262	75	chr7	1	138178136	75	07-11855
merge483-3	-1	25672	83	chr9	1	91562179	82	07-11855
merge484-3	1	3320	137	chr19	1	7362029	137	07-11855
merge480-4	-1	19751	49	chr7	1	158841162	49	07-11855
merge486-3	-1	10007	169	chr1	1	30644378	168	07-11855
merge494-3	1	3506	113	chr1	1	105939476	119	07-11855
merge494-3	1	3619	473	chr1	1	56983153	469	07-11855
merge496-3	-1	16466	60	chr11	1	126144592	60	07-11855
merge443-4	-1	20201	312	chr6	1	133858299	312	07-11855
merge488-3	-1	10023	278	chr18	1	24331417	277	07-11855
merge498-3	-1	5589	306	chr3	1	69628183	306	07-11855
merge451-4	-1	15637	60	chr5	1	127371196	60	07-11855
merge497-3	-1	4006	92	chr1	1	69608823	92	07-11855
merge493-3	-1	14900	300	chr1	1	47614349	300	07-11855
merge485-3	1	15721	74	chr7	1	57690913	74	07-11855
merge509-3	1	5198	155	chr1	1	30972285	152	07-11855
merge509-3	1	5353	122	chr1	1	30972279	117	07-11855
merge509-3	1	5475	149	chr1	1	30972295	150	07-11855
merge509-3	1	5624	360	chr8	1	4174761	362	07-11855
merge504-3	1	5560	77	chr10	1	97678925	77	07-11855
merge501-3	1	19048	50	chr1	1	209221301	50	07-11855
merge446-4	1	15157	72	chr22	1	35005171	72	07-11855
merge512-3	1	9341	63	chr14	1	53205431	63	07-11855
merge487-3	-1	10657	122	chr8	1	100971325	122	07-11855
merge508-3	1	6939	61	chr1	1	158259284	62	07-11855
merge518-3	1	6361	41	chr2	1	202380911	41	07-11855
merge513-3	1	32516	56	chr5	1	178498209	56	07-11855
merge506-3	1	29873	148	chr3	1	121555651	148	07-11855
merge503-3	-1	10080	108	chr11	1	32265305	108	07-11855
merge499-3	-1	29929	306	chr3	1	69628183	306	07-11855
merge515-3	-1	6786	309	chr2	1	65676567	309	07-11855
merge519-3	-1	15965	28	chr17	1	76121264	28	07-11855
merge519-3	1	11758	181	chr3	1	150221793	185	07-11855
merge519-3	1	11989	49	chr8	1	126224575	50	07-11855
merge502-3	1	18800	327	chr20	1	17122803	327	07-11855
merge489-3	1	13771	128	chr2	1	83319473	128	07-11855
merge521-3	1	5530	139	chr3	1	160019918	139	07-11855
merge521-3	-1	9014	326	chr17	1	39498874	326	07-11855
merge459-4	-1	14189	148	chr21	1	17383647	148	07-11855
merge492-3	-1	8693	318	chr1	1	42542534	318	07-11855
merge517-3	1	6451	84	chr3	1	140490012	84	07-11855
merge507-3	-1	5834	73	chr12	1	113543365	73	07-11855
merge526-3	-1	3370	61	chr10	1	73037523	61	07-11855
merge520-3	-1	12276	230	chr10	1	27823939	230	07-11855
merge516-3	-1	24921	66	chr3	1	131203739	66	07-11855
merge527-3	1	17175	112	chr10	1	75750702	113	07-11855
merge511-3	-1	20820	480	chr12	1	46361447	472	07-11855
merge511-3	-1	20292	348	chr12	1	46360879	371	07-11855
merge511-3	-1	11040	69	chr1	1	185505099	69	07-11855
merge468-4	1	25443	141	chr2	1	67906543	140	07-11855
merge460-3	-1	1318	147	chr14	1	104412407	147	07-11855
merge528-3	-1	2085	123	chr10	1	75750691	124	07-11855
merge543-3	-1	19568	71	chr9	1	14977558	71	07-11855
merge540-3	1	14624	54	chrX	1	112390097	54	07-11855
merge541-3	1	1359	45	chrX	1	130043740	45	07-11855
merge532-3	1	13936	55	chr2	1	91608688	55	07-11855
merge534-3	1	10576	90	chr5	1	52415351	90	07-11855
merge530-3	1	9274	113	chr1	1	17716721	113	07-11855
merge554-3	1	16961	141	chr6	1	32595753	141	07-11855
merge550-3	1	10243	32	chr12	1	15480724	32	07-11855
merge555-3	1	4723	333	chr5	1	96574023	333	07-11855
merge547-3	-1	8891	92	chr11	1	65337454	92	07-11855
merge556-3	1	18115	312	chr11	1	86975321	312	07-11855
merge546-3	1	8420	153	chr6	1	35340633	154	07-11855
merge545-3	-1	21375	298	chr9	1	103370286	298	07-11855
merge552-3	1	24479	79	chr5	1	56166074	79	07-11855
merge557-3	1	16789	307	chr11	1	89173507	307	07-11855
merge490-3	-1	2616	207	chr3	1	177767357	207	07-11855
merge559-3	-1	12961	84	chr14	1	93146663	84	07-11855
merge561-3	-1	12110	62	chr3	1	197510598	62	07-11855
merge567-3	-1	12092	37	chr5	1	59798248	37	07-11855
merge563-3	1	0	148	chr8	1	97435978	141	07-11855
merge563-3	1	148	88	chr5	1	116726418	88	07-11855
merge563-3	1	11351	684	chr8	1	97446745	634	07-11855
merge563-3	1	12035	42	chr14	1	76550291	42	07-11855
merge537-3	1	15465	154	chr13	1	82561955	154	07-11855
merge553-3	-1	14364	291	chr1	1	155551378	291	07-11855
merge570-3	-1	15130	52	chr17	1	27728412	52	07-11855
merge548-3	-1	18844	206	chr3	1	69313967	206	07-11855
merge578-3	-1	15076	106	chr12	1	84616113	106	07-11855
merge578-3	1	10358	81	chr11	1	74117048	81	07-11855
merge577-3	1	19808	39	chr2	1	106943366	39	07-11855
merge572-3	1	18916	32	chr5	1	105771919	32	07-11855
merge572-3	1	18948	137	chr12	1	60004523	139	07-11855
merge572-3	1	19087	70	chr19	1	6429103	71	07-11855
merge580-3	1	16474	174	chr18	1	43613991	156	07-11855
merge588-3	1	9090	314	chr3	1	10355791	312	07-11855
merge592-3	1	7717	311	chr6	1	68629581	311	07-11855
merge579-3	1	7997	59	chr20	1	61229612	59	07-11855
merge599-3	1	3924	99	chr5	1	43063184	99	07-11855
merge597-3	1	21884	53	chr5	1	85627404	53	07-11855
merge596-3	-1	5329	143	chr4	1	123540312	143	07-11855
merge604-3	1	23346	55	chr3	1	167725761	55	07-11855
merge565-3	-1	7371	65	chr1	1	236447195	65	07-11855
merge608-3	1	15426	146	chr1	1	52803084	136	07-11855
merge603-3	1	8758	62	chr8	1	133633874	62	07-11855
merge610-3	1	16907	92	chr14	1	101721082	89	07-11855
merge539-3	1	20402	310	chr11	1	20894986	310	07-11855
merge595-3	1	22624	317	chr2	1	38844346	317	07-11855
merge522-3	-1	21980	49	chr15	1	82457368	49	07-11855
merge611-3	-1	14970	114	chr11	1	69090847	114	07-11855
merge586-3	1	25305	79	chr1	1	18611270	79	07-11855
merge619-3	1	13122	319	chr9	1	18508902	319	07-11855
merge612-3	1	15469	116	chr11	1	69090847	116	07-11855
merge590-3	1	10484	310	chr13	1	51641544	310	07-11855
merge621-3	-1	15153	99	chr13	1	100298642	99	07-11855
merge613-3	-1	12716	321	chr3	1	42989607	321	07-11855
merge620-3	1	13122	294	chr19	1	36793430	294	07-11855
merge629-3	1	1869	309	chr17	1	18624208	309	07-11855
merge584-3	1	9084	69	chr15	1	76637742	69	07-11855
merge626-3	1	21048	311	chr2	1	193533781	311	07-11855
merge593-3	-1	22061	131	chr3	1	49605423	129	07-11855
merge614-3	1	13167	76	chr14	1	93300708	76	07-11855
merge614-3	-1	14961	77	chr1	1	190482388	77	07-11855
merge636-3	-1	1527	32	chr2	1	200544704	32	07-11855
merge573-3	1	19593	301	chr21	1	16149923	301	07-11855
merge594-3	1	9066	53	chr3	1	46362340	53	07-11855
merge628-3	1	7414	78	chr5	1	16276931	78	07-11855
merge634-3	1	5376	253	chr18	1	34400480	253	07-11855
merge633-3	1	8554	163	chr12	1	29090915	165	07-11855
merge616-3	1	14941	317	chr9	1	98266480	317	07-11855
merge581-3	1	21510	301	chr6	1	98195974	301	07-11855
merge623-3	-1	15187	96	chr7	1	90208352	96	07-11855
merge623-3	-1	15071	113	chr4	1	174342327	113	07-11855
merge622-3	1	9641	135	chr2	1	158104917	131	07-11855
merge635-3	-1	13229	309	chr1	1	8433550	309	07-11855
merge637-3	-1	8872	80	chrX	1	102158123	80	07-11855
merge624-3	1	2516	303	chr16	1	21831271	303	07-11855
merge638-3	-1	14672	88	chr18	1	66031492	88	07-11855
merge655-3	1	1853	49	chrX	1	21039448	49	07-11855
merge660-3	1	16786	50	chr7	1	75743365	50	07-11855
merge641-3	-1	23514	73	chr1	1	10987379	72	07-11855
merge657-3	1	19561	94	chr21	1	17085185	94	07-11855
merge642-3	1	11601	171	chr2	1	107310079	171	07-11855
merge649-3	1	13397	56	chr2	1	84998915	56	07-11855
merge670-3	-1	5923	321	chr5	1	147477560	321	07-11855
merge669-3	1	23283	90	chr11	1	17362703	90	07-11855
merge672-3	1	6571	315	chr21	1	33819700	315	07-11855
merge645-3	1	16215	75	chr2	1	17310717	75	07-11855
merge671-3	-1	10189	81	chr12	1	58149326	81	07-11855
merge668-3	1	22027	137	chrY	1	18069628	137	07-11855
merge661-3	-1	0	197	chr6	1	73651606	197	07-11855
merge677-3	1	17099	147	chr3	1	30399799	146	07-11855
merge662-3	-1	17819	305	chr2	1	207702499	305	07-11855
merge674-3	1	15331	48	chr1	1	114827723	48	07-11855
merge676-3	-1	14969	54	chr9	1	110892828	54	07-11855
merge651-3	1	12809	58	chr6	1	74537106	58	07-11855
merge654-3	1	5865	81	chr9	1	81242500	81	07-11855
merge647-3	1	23026	70	chr1	1	151496555	70	07-11855
merge684-3	-1	23931	299	chrX	1	81734230	299	07-11855
merge688-3	1	12705	163	chr1	1	30972272	167	07-11855
merge697-3	1	7789	303	chr4	1	112493769	303	07-11855
merge699-3	1	24249	51	chr21	1	23565513	51	07-11855
merge686-3	1	6731	57	chr1	1	144994551	57	07-11855
merge689-3	-1	12012	262	chr8	1	130133408	262	07-11855
merge707-3	-1	7625	38	chr19	1	33858859	38	07-11855
merge673-3	1	22849	152	chr21	1	35052567	150	07-11855
merge695-3	-1	129	41	chr14	1	42092728	41	07-11855
merge695-3	1	35381	129	chr4	1	79167163	132	07-11855
merge702-3	-1	8644	297	chr5	1	117358838	297	07-11855
merge702-3	1	17672	119	chr8	1	118487683	123	07-11855
merge711-3	1	8085	36	chr4	1	76857825	36	07-11855
merge687-3	1	6955	72	chr1	1	108625774	72	07-11855
merge718-3	1	5519	281	chr12	1	97160962	281	07-11855
merge713-3	-1	13615	63	chr8	1	89801815	64	07-11855
merge704-3	1	5896	316	chr21	1	16149906	313	07-11855
merge716-3	-1	12780	300	chr7	1	149121094	300	07-11855
merge685-3	1	27964	33	chr4	1	1998225	34	07-11855
merge656-3	1	9256	91	chr21	1	17085182	91	07-11855
merge719-3	1	5898	62	chr11	1	98704869	62	07-11855
merge717-3	-1	15962	125	chr6	1	154687368	125	07-11855
merge724-3	1	8695	223	chr9	1	133220495	223	07-11855
merge710-3	-1	15539	248	chr9	1	62709286	248	07-11855
merge722-3	-1	2841	89	chr4	1	61848004	89	07-11855
merge679-3	1	12825	119	chrX	1	30018509	110	07-11855
merge721-3	-1	12451	305	chr9	1	132038185	305	07-11855
merge706-3	1	18452	326	chr2	1	137487736	326	07-11855
merge706-3	1	25584	112	chr5	1	178163791	111	07-11855
merge706-3	1	25700	121	chr5	1	178163808	110	07-11855
merge706-3	1	25845	45	chr1	1	184861627	44	07-11855
merge706-3	1	25890	321	chr5	1	178163784	322	07-11855
merge720-3	1	18175	232	chr7	1	155367108	234	07-11855
merge720-3	-1	7010	188	chr9	1	121971008	190	07-11855
merge682-3	-1	30044	138	chr3	1	129362395	139	07-11855
merge727-3	1	15171	74	chr8	1	90180401	73	07-11855
merge703-3	-1	5122	34	chr5	1	125616155	34	07-11855
merge703-3	1	24596	69	chrX	1	128668022	69	07-11855
merge703-3	1	24665	137	chrX	1	128668172	151	07-11855
merge703-3	1	24802	274	chrX	1	128668091	259	07-11855
merge693-3	1	4572	83	chr7	1	69602014	79	07-11855
merge726-3	1	13773	43	chrX	1	142126017	44	07-11855
merge709-3	1	19692	83	chrX	1	71234961	83	07-11855
merge714-3	1	7036	143	chr7	1	1303564	139	07-11855
merge715-3	-1	20480	138	chr21	1	28831603	139	07-11855
merge11-3	1	24193	319	chr6	1	104464193	319	07-20432
merge8-7	-1	31839	310	chr1	1	38870510	310	07-20432
merge9-3	-1	16710	314	chr21	1	18374188	314	07-20432
merge10-3	1	17200	313	chr4	1	96129244	313	07-20432
merge14-3	-1	17263	85	chr17	1	3264364	85	07-20432
merge24-14	-1	28393	251	chr13	1	18486501	251	07-20432
merge6-18	-1	35668	69	chrX	1	114982105	74	07-20432
merge33-3	1	15915	329	chr4	1	36841140	329	07-20432
merge29-12	1	33743	54	chr1	1	9525529	54	07-20432
merge16-15	-1	66873	77	chr11	1	84852679	77	07-20432
merge17-15	-1	0	163	chr14	1	42922103	170	07-20432
merge40-5	-1	19418	315	chr18	1	58134355	315	07-20432
merge36-3	-1	8103	304	chr12	1	62838638	304	07-20432
merge44-3	-1	25646	84	chr13	1	100298656	84	07-20432
merge45-12	-1	28648	256	chr4	1	75469070	256	07-20432
merge3-18	1	0	420	chr11	1	95633604	420	07-20432
merge3-18	-1	112976	56	chr11	1	95632920	55	07-20432
merge3-18	-1	112923	53	chr11	1	95633354	53	07-20432
merge52-3	1	6550	316	chr5	1	159165399	317	07-20432
merge55-11	1	19552	65	chr7	1	10019	65	07-20432
